track name,artist,spotify url,listeners,playcount,album,tags,album cover
Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,0.5419859006345612,0.26629672085517975,Highway to Hell,"hard rock, rock, classic rock, ACDC, heavy metal",https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0
The Reason,Hoobastank,https://open.spotify.com/track/1lHtE5JDCas1EwXhQIMOIj,0.45665376644170225,0.21135542433921578,Is This The Day?,"rock, alternative rock, alternative, hoobastank, pop",https://i.scdn.co/image/ab67616d0000b273bb67a149bcd737ff3b5d4f1f
Welcome To The Jungle,Guns N' Roses,https://open.spotify.com/track/0bVtevEgtDIeRjCJbK3Lmv,0.5513766887903062,0.2535934479258511,Appetite for Destruction,"hard rock, rock, 80s, classic rock, Guns N Roses",https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60
Remember Why You Started,Fearless Motivation,https://open.spotify.com/track/2siqSsVoviIIkwb9D4A9wj,0.0018804176091692523,0.000503748170578243,Unknown Album,,https://i.scdn.co/image/ab67616d0000b2734240435166faaed626028f53
Can't Stop,Red Hot Chili Peppers,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,0.5866398791665085,0.34998385897354073,By the Way,"rock, alternative rock, funk, alternative, Red Hot Chili Peppers",https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
Smoke On The Water - Remastered 2012,Deep Purple,https://open.spotify.com/track/5MMnwYs0hIxkENRsbkWJ2G,0.08135225495101787,0.02812713434066222,Unknown Album,"hard rock, classic rock, heavy metal, rock, 70s",https://i.scdn.co/image/ab67616d0000b273a729c9c3dec04b99d889c66f
What's Up?,4 Non Blondes,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm,0.23691784197596252,0.10098486938511243,"Bigger, Better, Faster, More!","90s, rock, female vocalists, pop, alternative",https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600
More Than a Feeling,Boston,https://open.spotify.com/track/32kgOw8wejH7zUhtXCM8DH,0.4089827172527012,0.17503275188174006,Boston,"classic rock, rock, 70s, boston, 80s",https://i.scdn.co/image/ab67616d0000b273cbdeb4ed581e56ac25609357
Sex on Fire,Kings of Leon,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45,0.6776297814108695,0.4576888847998248,Only by the Night,"rock, indie rock, alternative, indie, i fucking love this song",https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8
Money For Nothing,Dire Straits,https://open.spotify.com/track/4WfGrAJVC3A5xhUTja0gUG,0.2960014904265303,0.12607070321466138,Brothers in Arms,"rock, classic rock, 80s, dire straits, guitar",https://i.scdn.co/image/ab67616d0000b27348cd811e6c34abd3ff00d15f
I Was Made For Lovin' You,KISS,https://open.spotify.com/track/07q0QVgO56EorrSGHC48y3,0.38295530371931535,0.18521154517101138,The Very Best of Kiss,"hard rock, rock, classic rock, glam rock, 70s",https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022
The Chain,Fleetwood Mac,https://open.spotify.com/track/2X6gdRlGOQgfaXU9ALUQFQ,0.16349839961684678,0.0705726343348776,"2010-01-08: The Rock Boat X, Lido Deck, Carnival Inspiration","classic rock, rock, 70s, Fleetwood Mac, pop",https://i.scdn.co/image/ab67616d0000b2735e66bc0df2bd18e746dbb823
All Fired Up,Pat Benatar,https://open.spotify.com/track/6XpczhG192lULA9i4JLqKJ,0.015295705085616949,0.003631423845716759,Wide Awake In Dreamland,"rock, 80s, classic rock, female vocalists, pop",https://i.scdn.co/image/ab67616d0000b273f048abf63ca38b72bfeac9ca
When I Come Around,Green Day,https://open.spotify.com/track/1Dr1fXbc2IxaK1Mu8P8Khz,0.410686103250283,0.18327669382640896,Dookie,"punk rock, punk, rock, 90s, green day",https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d
Take Me Back,Noiseworks,https://open.spotify.com/track/4yy9bqYoWZaU3VJjGDkHOw,0.0047778253274577765,0.0015910008189964342,Greatest Hits,"australian, NoiseWorks, alternative, Aussie, rock",https://i.scdn.co/image/ab67616d0000b27329870a9eca78ca4e774f7669
Young Years,Dragon,https://open.spotify.com/track/5YwcNVpjiqGqC2Ma9330j0,0.001963862951455962,0.0006206507487622967,Their Classic Collection,"nz rock, Young Years",https://i.scdn.co/image/ab67616d0000b273a128f6f2f426d9ce7b253f04
Solid Rock - Remastered Version,Goanna,https://open.spotify.com/track/18PsAoBaEHQZRUxigLP8QJ,0.004782750920578867,0.0019229154006880787,Unknown Album,,https://i.scdn.co/image/ab67616d0000b2731ea271c63fe9b5c69ac0f08b
My Sacrifice,Creed,https://open.spotify.com/track/2VSbEXqs6NbNiZSTcHlIDR,0.17470209578192486,0.0651994977516147,Weathered,"rock, Creed, alternative rock, alternative, hard rock",https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
Where The Streets Have No Name - Remastered,U2,https://open.spotify.com/track/4qgZs0RNjdzKAS22lP0QjY,0.05928067217541138,0.018441693399850217,Unknown Album,"rock, alternative rock, 1987, ie, Big Music",https://i.scdn.co/image/ab67616d0000b273b7bea3d01f04e6d0408d2afe
The Dolphin's Cry,Live,https://open.spotify.com/track/6FPnecQDKOWSAKDKBAZ7ZG,0.05100625521352301,0.015747690353599315,The Distance to Here,"rock, alternative rock, 90s, alternative, live",https://i.scdn.co/image/ab67616d0000b2736bb78aeaf611aa92171eab60
Holy Grail,Hunters & Collectors,https://open.spotify.com/track/7ieCsfrxC9ssTGUzCL8BHv,0.010407778264864208,0.004690037562653851,Cut,"rock, favorite songs, australian, 80s, feelgood",https://i.scdn.co/image/ab67616d0000b2734842335ccfee822cfe50b7bd
It's My Life,Bon Jovi,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,0.32368738013786447,0.14195128407746366,Crush,"rock, bon jovi, hard rock, classic rock, 80s",https://i.scdn.co/image/ab67616d0000b2737a231174875d7930de9dad58
Chop Suey!,System Of A Down,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,0.7479269772127575,0.5315215902798953,Chop Suey!,"alternative metal, metal, rock, System of a Down, alternative",https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
Seven Nation Army,The White Stripes,https://open.spotify.com/track/7i6r9KotUPQg3ozKKgEPIN,0.725295035784434,0.4005104146977783,Elephant,"rock, alternative rock, alternative, indie, indie rock",https://i.scdn.co/image/ab67616d0000b273588ca88c368d5f6eae5cb9b1
I Miss You,blink-182,https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw,0.503473846983842,0.3307945647855075,Unknown Album,"punk rock, rock, punk, alternative, Blink 182",https://i.scdn.co/image/ab67616d0000b2730a4ae12eb3a9fb7e3815001c
The Middle,Jimmy Eat World,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,0.49722008216468805,0.27721303080183085,Bleed American,"rock, alternative rock, alternative, emo, Jimmy Eat World",https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
Bring Me To Life,Evanescence,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,0.623593996687104,0.3616047379720201,Fallen,"rock, Gothic Rock, Evanescence, Gothic, female vocalists",https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432
